TITLE = "oxygen alpha" 

  VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
240	0.700163632	0.696913893	0.704767212	0.719582545	0.726580127	0.739760118	0.745765118	0.756530981
241	0.699000584	0.694475889	0.702575285	0.717491705	0.724430774	0.737320309	0.743303943	0.754152213
242	0.688382758	0.692588677	0.700553988	0.715375547	0.72232374	0.735096435	0.741131894	0.75173217
243	0.685210801	0.691289921	0.698720615	0.713332298	0.720212255	0.733109279	0.738871251	0.749400919
244	0.689889066	0.688944712	0.696690805	0.71127998	0.718103574	0.730828093	0.736524496	0.747045913
245	0.68526322	0.687221744	0.694873525	0.70922566	0.716005223	0.728524675	0.734304361	0.744803349
246	0.688886182	0.686160768	0.69287381	0.707176668	0.713925003	0.726491918	0.732226119	0.742423828
247	0.683179884	0.684062276	0.691112629	0.705238303	0.711870989	0.724168688	0.729868921	0.740176531
248	0.686138519	0.682662753	0.689184235	0.703224535	0.709789984	0.722140342	0.727668746	0.737939593
249	0.67975288	0.680218544	0.687090848	0.701138888	0.707750134	0.719825038	0.725641977	0.735580389
250	0.68246611	0.678512135	0.685271747	0.699189751	0.70569674	0.717830118	0.723343533	0.733385693
251	0.675830584	0.675754838	0.683304591	0.697182629	0.703700472	0.715552652	0.721235395	0.731079984
252	0.678745915	0.673776066	0.681641162	0.695227177	0.701639452	0.713622326	0.719095467	0.728812792
253	0.672318927	0.672620445	0.679847885	0.693225461	0.699650464	0.711414781	0.716928568	0.726593328
254	0.675913035	0.670430659	0.677928259	0.691290759	0.697607939	0.709252072	0.714739733	0.724431114
255	0.670182548	0.669108074	0.67588597	0.68932241	0.695653299	0.70714299	0.712534213	0.72217794
256	0.654903979	0.666748658	0.674198254	0.687437369	0.693657218	0.705096591	0.710574794	0.719996027
257	0.67044583	0.665302458	0.672408371	0.685418619	0.691694873	0.703122194	0.708357092	0.717895761
258	0.656413727	0.662817901	0.670520782	0.683497115	0.689701894	0.701229376	0.706406201	0.715720759
259	0.653419359	0.66129457	0.668540145	0.681566563	0.687756028	0.699068876	0.704200126	0.713472838
260	0.661968906	0.660781958	0.666969964	0.679751402	0.685791141	0.696998139	0.70200701	0.711327217
261	0.661313782	0.659256228	0.664824513	0.677822171	0.683812229	0.695027439	0.700113717	0.709295378
262	0.651239037	0.65669316	0.663112901	0.675902024	0.681900954	0.69279027	0.6979712	0.707030117
263	0.653286236	0.655193338	0.661342156	0.673997396	0.679988462	0.691045497	0.695862065	0.70507254
