Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha,,,,,
1.45701797,0.5,0.525604662,0.588984911,0.063380249,0.59961521,0.578354613,0.58949575,0.608060269,0.588984911,0.608060269,0.588984911,0.608060269,0.588984911
1.465112514,0.5,0.514191355,0.584539027,0.070347672,0.595169325,0.573908728,0.5852121,0.602519451,0.584539027,0.602519451,0.584539027,0.602519451,0.584539027
1.473207058,0.5,0.502778048,0.580160922,0.077382874,0.59079122,0.569530623,0.580980735,0.597019175,0.580160922,0.597019175,0.580160922,0.597019175,0.580160922
1.481301603,0.5,0.49136474,0.575844807,0.084480067,0.586475106,0.565214509,0.576800416,0.591559105,0.575844807,0.591559105,0.575844807,0.591559105,0.575844807
1.489396147,0.5,0.479951433,0.571583723,0.09163229,0.582214021,0.560953425,0.572669939,0.586138913,0.571583723,0.586138913,0.571583723,0.586138913,0.571583723
1.497490691,0.5,0.468538125,0.567370613,0.098832488,0.578000912,0.556740315,0.568588139,0.580758274,0.567370613,0.580758274,0.567370613,0.580758274,0.567370613
1.505585236,0.5,0.457124818,0.563199452,0.106074634,0.57382975,0.552569153,0.564553882,0.575416869,0.563199452,0.575416869,0.563199452,0.575416869,0.563199452
1.51367978,0.5,0.44571151,0.559066231,0.11335472,0.569696529,0.548435932,0.560566071,0.57011438,0.559066231,0.57011438,0.559066231,0.57011438,0.559066231
1.521774324,0.5,0.434298203,0.554969657,0.120671454,0.565599956,0.544339359,0.55662364,0.564850497,0.554969657,0.564850497,0.554969657,0.564850497,0.554969657
1.529868868,0.5,0.422884896,0.550911396,0.1280265,0.561541694,0.540281098,0.552725556,0.559624911,0.550911396,0.559624911,0.550911396,0.559624911,0.550911396
1.537963413,0.5,0.411471588,0.546895765,0.135424177,0.557526064,0.536265467,0.548870815,0.554437319,0.546895765,0.554437319,0.546895765,0.554437319,0.546895765
1.546057957,0.5,0.400058281,0.542928833,0.142870553,0.553559132,0.532298535,0.545058442,0.549287422,0.542928833,0.549287422,0.542928833,0.549287422,0.542928833
1.554152501,0.5,0.388644973,0.539016926,0.150371953,0.549647224,0.528386628,0.541287492,0.544174924,0.539016926,0.544174924,0.539016926,0.544174924,0.539016926
1.562247045,0.5,0.377231666,0.535164626,0.157932961,0.545794925,0.524534328,0.537557045,0.539099533,0.535164626,0.539099533,0.535164626,0.539099533,0.535164626
1.57034159,0.5,0.365818358,0.531372396,0.165554037,0.542002694,0.520742097,0.533866208,0.53406096,0.531372396,0.53406096,0.531372396,0.53406096,0.531372396
1.578436134,0.5,0.354405051,0.527633995,0.173228944,0.538264294,0.517003697,0.530214114,0.529058923,0.527633995,0.529058923,0.527633995,0.529058923,0.527633995
1.586530678,0.5,0.342991744,0.523933927,0.180942183,0.534564225,0.513303628,0.526599921,0.52409314,0.523933927,0.52409314,0.523933927,0.52409314,0.523933927
1.594625223,0.5,0.331578436,0.52024511,0.188666674,0.530875409,0.509614812,0.523022809,0.519163333,0.52024511,0.519163333,0.52024511,0.519163333,0.52024511
1.602719767,0.5,0.320165129,0.516527022,0.196361893,0.52715732,0.505896723,0.519481983,0.51426923,0.516527022,0.51426923,0.516527022,0.51426923,0.516527022
1.610814311,0.5,0.308751821,0.512724487,0.203972666,0.523354785,0.502094188,0.515976669,0.50941056,0.512724487,0.50941056,0.512724487,0.50941056,0.512724487
